Date,Open,High,Low,Close,Volume
1/2/2020 15:30:00,133.45,136.35,132.55,134.15,637088
1/3/2020 15:30:00,133.6,136,133.4,135.05,659414
1/6/2020 15:30:00,134.25,134.65,132.15,133.05,480400
1/7/2020 15:30:00,133.4,135.05,131.35,133.05,500000
1/8/2020 15:30:00,132.5,136,131.3,133.6,6238333
1/9/2020 15:30:00,135.6,136,134.1,135.5,1081802
1/10/2020 15:30:00,135.1,139,134.65,137.9,888491
1/13/2020 15:30:00,139,143.95,137.35,143.15,2567210
1/14/2020 15:30:00,144,144,140.6,143.25,889692
1/15/2020 15:30:00,143.05,144.8,142.4,143.55,791831
1/16/2020 15:30:00,143.9,144.85,142.25,144,1133965
1/17/2020 15:30:00,144,144.35,138.5,141.65,796786
1/20/2020 15:30:00,142.5,144.15,141.8,143.15,1420996
1/21/2020 15:30:00,142.05,146.8,142,146.15,4456421
1/22/2020 15:30:00,148.55,153.35,146.3,151.75,9515716
1/23/2020 15:30:00,152.75,155.4,150.65,154,2311259
1/24/2020 15:30:00,153.85,155.25,151.8,153.2,1313374
1/27/2020 15:30:00,156,157.15,154.1,155.95,2525124
1/28/2020 15:30:00,156.1,156.95,153.35,155.25,4635625
1/29/2020 15:30:00,155.95,156.8,154.65,156.3,808934
1/30/2020 15:30:00,157,157.4,154.8,156.05,1822091
1/31/2020 15:30:00,156.9,157.7,151.45,153.45,1933119
2/1/2020 17:00:00,153.4,154.65,150.3,151.65,2073971
2/3/2020 15:30:00,149.25,155.15,149.25,152.7,2865425
2/4/2020 15:30:00,152.7,159.8,151.65,154.85,1782860
2/5/2020 15:30:00,154.85,157.6,154,156.8,874925
2/6/2020 15:30:00,156.55,156.55,153.75,155.7,349186
2/7/2020 15:30:00,154.25,169,154.25,163.65,6128752
2/10/2020 15:30:00,164.2,166,159.15,164.45,1509455
2/11/2020 15:30:00,163,163,155.2,159.7,2221649
2/12/2020 15:30:00,159,159.1,154,155.05,1731166
2/13/2020 15:30:00,155.1,161.7,154.55,157.7,1283770
2/14/2020 15:30:00,157.6,159.3,155.1,156.1,882359
2/17/2020 15:30:00,157,157.8,149.1,150.75,1001496
2/18/2020 15:30:00,150.6,155.45,149.55,151.8,903732
2/19/2020 15:30:00,152.05,159.45,151.35,157.4,1093466
2/20/2020 15:30:00,157.3,158.6,153.5,156.3,671168
2/24/2020 15:30:00,156,156.4,152.4,153.3,731574
2/25/2020 15:30:00,153.05,156.85,151,154.6,1195195
2/26/2020 15:30:00,154.6,160.25,153.1,156.7,2099578
2/27/2020 15:30:00,155.2,156.9,152,155.9,854082
2/28/2020 15:30:00,151.55,156.9,150,154.05,1098570
3/2/2020 15:30:00,156.1,157,151,152,1824050
3/3/2020 15:30:00,153.5,156.1,151,153.8,1262588
3/4/2020 15:30:00,155.7,156.75,152.6,153.8,1409635
3/5/2020 15:30:00,153.5,156.95,153,154.55,1132076
3/6/2020 15:30:00,152,152.85,148.2,149.3,2962811
3/9/2020 15:30:00,146,152.95,141,143.85,3478787
3/11/2020 15:30:00,142.15,145.95,139.75,144.9,873771
3/12/2020 15:30:00,138.05,141.9,134.1,135.75,3607900
3/13/2020 15:30:00,120,142.4,117.1,138.7,1515437
3/16/2020 15:30:00,133,137.8,129.3,130.8,1228944
3/17/2020 15:30:00,131,134.35,127.35,130.9,1309478
3/18/2020 15:30:00,132.4,134,118.55,121.55,1983802
3/19/2020 15:30:00,117.1,124,115.2,121.25,1333182
3/20/2020 15:30:00,123,135.9,121.7,131.9,1392885
3/23/2020 15:30:00,118.55,127.85,115.35,121.35,1264255
3/24/2020 15:30:00,123.5,130.5,120.5,128.65,1465145
3/25/2020 15:30:00,130,134.1,124.4,131.6,758372
3/26/2020 15:30:00,130.35,133.9,128.2,129.6,1507886
3/27/2020 15:30:00,132.5,132.5,125,128.95,1897551
3/30/2020 15:30:00,128,129,123,127.1,1954256
3/31/2020 15:30:00,133,133,124.75,126.15,1323064
4/1/2020 15:30:00,126.15,127,120.25,121.2,677745
4/3/2020 15:30:00,121.7,125.8,119.1,122.15,813065
4/7/2020 15:30:00,124.1,124.8,120.2,123.8,1784112
4/8/2020 15:30:00,123.4,125.95,121.35,123.3,952237
4/9/2020 15:30:00,123.8,130,123.1,127.15,1244560
4/13/2020 15:30:00,126.6,127,122.1,123.7,1307455
4/15/2020 15:30:00,125.05,125.45,120.1,121,1743665
4/16/2020 15:30:00,120,120.75,117.7,119.15,916569
4/17/2020 15:30:00,121,122.1,117.65,118.05,1182246
4/20/2020 15:30:00,119.05,124.4,118.5,122.65,2048575
4/21/2020 15:30:00,120.2,121.9,117.85,118.35,761056
4/22/2020 15:30:00,118.3,124.9,117.8,123.25,1695494
4/23/2020 15:30:00,124,124.8,122.05,124,1038138
4/24/2020 15:30:00,122.9,124,121.1,121.45,587797
4/27/2020 15:30:00,122,122.7,119,119.4,807105
4/28/2020 15:30:00,120.95,120.95,116.7,117.5,583081
4/29/2020 15:30:00,118,120.2,115.6,117.15,1413452
4/30/2020 15:30:00,119.95,127.95,118.4,127,1984965
5/4/2020 15:30:00,124,126.8,119.9,125.25,1432507
5/5/2020 15:30:00,125.65,126.45,121.8,122.15,404008
5/6/2020 15:30:00,122.15,123.9,121.1,121.95,408011
5/7/2020 15:30:00,121.25,124.3,121.25,124,374022
5/8/2020 15:30:00,124.95,125.95,123.15,125.05,480430
5/11/2020 15:30:00,125.9,125.95,123.05,124.5,1251699
5/12/2020 15:30:00,123.8,124.2,119.85,120.2,644668
5/13/2020 15:30:00,122.95,122.95,118.2,118.85,776796
5/14/2020 15:30:00,119,119.35,117.1,117.7,630535
5/15/2020 15:30:00,118,118.35,116.6,117.25,467430
5/18/2020 15:30:00,120.9,120.9,116.2,116.5,418243
5/19/2020 15:30:00,117,117.5,115.55,115.9,450486
5/20/2020 15:30:00,115.5,116.8,114.6,115.15,463387
5/21/2020 15:30:00,115.4,117.5,115.05,116.5,892730
5/22/2020 15:30:00,116.45,116.9,113.9,114.15,440612
5/26/2020 15:30:00,114.55,115.45,113.1,114.9,610380
5/27/2020 15:30:00,115,115.45,113.35,113.5,1475258
5/28/2020 15:30:00,113.55,118,113.55,114.55,602404
5/29/2020 15:30:00,114,118.15,114,115.65,2138902
6/1/2020 15:30:00,116.95,122.5,114.55,120.85,4962452
6/2/2020 15:30:00,122,123,118.1,118.95,863298
6/3/2020 15:30:00,120,120.7,116.75,117.65,836774
6/4/2020 15:30:00,117.65,118.65,116.1,116.75,612869
6/5/2020 15:30:00,117,118.4,117,117.65,1102172
6/8/2020 15:30:00,118.5,121.3,116.35,117,3553101
6/9/2020 15:30:00,118,120,117.7,118.15,1023160
6/10/2020 15:30:00,118.5,125.4,118.2,121.9,5845389
6/11/2020 15:30:00,122.3,126.7,119.1,120.1,1922882
6/12/2020 15:30:00,117.1,122.35,116.8,120.2,3877838
6/15/2020 15:30:00,120.8,122.75,118.4,119.3,1074884
6/16/2020 15:30:00,120.5,127.9,120.2,123.6,5309493
6/17/2020 15:30:00,123.2,124.8,122.3,122.85,1213435
6/18/2020 15:30:00,122,125.9,120.9,122.25,3308818
6/19/2020 15:30:00,122.6,124.9,121.5,122.4,2849024
6/22/2020 15:30:00,123.3,123.85,120.35,121.25,1243817
6/23/2020 15:30:00,121,129.8,121,127.1,7084326
6/24/2020 15:30:00,130,130.65,122.2,123.45,2736359
6/25/2020 15:30:00,122.9,127,122.9,124.5,1584245
6/26/2020 15:30:00,125.4,125.9,123,123.35,1579278
6/29/2020 15:30:00,123,123.6,121,122.1,1606216
6/30/2020 15:30:00,122.75,123.45,121.4,121.95,1663312
7/1/2020 15:30:00,122,124.9,121.75,122.6,1696766
7/2/2020 15:30:00,124.5,131.75,123.1,128.3,7700160
7/3/2020 15:30:00,129,131.25,126.1,126.75,2249177
7/6/2020 15:30:00,128,128,123.15,123.7,3216603
7/7/2020 15:30:00,124.15,125.65,122.3,123.6,2538388
7/8/2020 15:30:00,124.75,124.75,122.6,122.95,1899425
7/9/2020 15:30:00,123,123.9,122.6,122.75,1098799
7/10/2020 15:30:00,122.75,123.9,121,121.4,924294
7/13/2020 15:30:00,122.05,124.4,121.8,123.15,1435724
7/14/2020 15:30:00,123.7,130.9,123.55,127.4,6543170
7/15/2020 15:30:00,128.4,133,127.4,128.5,3505768
7/16/2020 15:30:00,128.5,130.7,127.1,129.85,1664435
7/17/2020 15:30:00,130.25,134.5,126.55,128.55,6929664
